District,confirmed,deceased,other,recovered,tested,vaccinated1,vaccinated2
Bagalkote,35174.0,332.0,,34833.0,49851.0,1034937.0,368661.0
Ballari,97686.0,1689.0,,95873.0,402407.0,1550885.0,608510.0
Belagavi,79746.0,930.0,,78631.0,396565.0,2930810.0,921240.0
Bengaluru Rural,61837.0,884.0,,60784.0,240277.0,637111.0,282994.0
Bengaluru Urban,1246139.0,16150.0,1.0,1222479.0,6883888.0,8892902.0,4774788.0
Bidar,24323.0,398.0,4.0,23914.0,67689.0,859811.0,374527.0
Chamarajanagara,32929.0,499.0,11.0,32353.0,5156.0,631444.0,230812.0
Chikkaballapura,43906.0,425.0,1.0,43451.0,15089.0,799378.0,387288.0
Chikkamagaluru,50788.0,395.0,,49992.0,5467.0,698140.0,289944.0
Chitradurga,36569.0,204.0,,36235.0,4393.0,876136.0,474872.0
Dakshina Kannada,114208.0,1650.0,7.0,111599.0,131281.0,1496180.0,663635.0
Davanagere,50930.0,603.0,,50263.0,17483.0,921407.0,351341.0
Dharwad,60886.0,1305.0,2.0,59543.0,137696.0,1123732.0,406907.0
Gadag,26061.0,317.0,,25735.0,8904.0,591909.0,256345.0
Hassan,110909.0,1246.0,2.0,109370.0,10800.0,1166909.0,446595.0
Haveri,21933.0,641.0,,21284.0,11714.0,945093.0,243389.0
Kalaburagi,61899.0,819.0,,61055.0,409596.0,1161681.0,442412.0
Kodagu,36607.0,325.0,1.0,35972.0,143982.0,375407.0,171779.0
Kolar,46750.0,633.0,,45991.0,91924.0,906404.0,465226.0
Koppal,35183.0,521.0,,34639.0,8708.0,737107.0,292896.0
Mandya,73461.0,649.0,,72660.0,14874.0,1141383.0,510952.0
Mysuru,177905.0,2387.0,,174892.0,107338.0,1942020.0,879943.0
Other State,36.0,3.0,,33.0,,,
Raichur,39957.0,330.0,,39623.0,21011.0,879188.0,315396.0
Ramanagara,24151.0,315.0,,23802.0,103399.0,716287.0,359283.0
Shivamogga,69151.0,1084.0,,67801.0,48760.0,1041486.0,418235.0
Tumakuru,120162.0,1109.0,,118724.0,106564.0,1518165.0,607259.0
Udupi,76231.0,482.0,,75304.0,86092.0,905027.0,427910.0
Uttara Kannada,55777.0,753.0,,54796.0,13833.0,947861.0,394871.0
Vijayapura,36236.0,495.0,,35733.0,25108.0,1199705.0,408533.0
Yadgir,27537.0,207.0,,27329.0,221485.0,546211.0,260528.0
